,Sample,Genus,Species,family,XA_ratio
0,PD_0001,Cheracebus,Cheracebus_lugens_ssp,Pitheciidae,0.5162823199644082
2,PD_0004,Ateles,Ateles_belzebuth_ssp,Atelidae,0.6250347097278166
4,PD_0006,Chiropotes,Chiropotes_israelita_ssp,Pitheciidae,0.7209064556236902
5,PD_0007,Cebus,Cebus_olivaceus_ssp,Cebidae,0.4803879218849741
6,PD_0008,Aotus,Aotus_trivirgatus_ssp,Aotidae,0.36699073575147956
8,PD_0010,Cebuella,Cebuella_niveiventris_ssp,Callitrichidae,0.4431743153704741
9,PD_0011,Sapajus,Sapajus_apella_ssp,Cebidae,0.31071192943741277
10,PD_0012,Saimiri,Saimiri_ustus_ssp,Cebidae,0.46555067930697475
11,PD_0013,Cebus,Cebus_unicolor_ssp,Cebidae,0.559177339773978
12,PD_0014,Plecturocebus,Plecturocebus_cupreus_ssp,Pitheciidae,0.5769536182487083
15,PD_0017,Leontocebus,Leontocebus_nigricollis_ssp,Callitrichidae,0.45349082999685836
17,PD_0019,Cacajao,Cacajao_ayresi_ssp,Pitheciidae,0.7926522581578438
18,PD_0020,Cacajao,Cacajao_calvus_ssp,Pitheciidae,0.8312022227704491
19,PD_0021,Cacajao,Cacajao_calvus_ssp,Pitheciidae,0.9155574054844465
20,PD_0022,Cacajao,Cacajao_ayresi_ssp,Pitheciidae,0.775574337102987
21,PD_0023,Cacajao,Cacajao_calvus_ssp,Pitheciidae,0.8498475686589952
22,PD_0024,Cacajao,Cacajao_calvus_ssp,Pitheciidae,0.8421143686684512
23,PD_0025,Alouatta,Alouatta_seniculus_ssp,Atelidae,0.5565894193775198
24,PD_0026,Alouatta,Alouatta_seniculus_ssp,Atelidae,0.5903407667606732
25,PD_0027,Alouatta,Alouatta_discolor_ssp,Atelidae,0.5446977737893758
27,PD_0029,Allochrocebus,Allochrocebus_lhoesti_ssp,Cercopithecidae,0.36266807375882676
28,PD_0030,Allochrocebus,Allochrocebus_preussi_ssp,Cercopithecidae,0.40453674823440866
30,PD_0032,Cercopithecus,Cercopithecus_ascanius_ssp,Cercopithecidae,0.5928137943027595
36,PD_0039,Piliocolobus,Piliocolobus_badius_ssp,Cercopithecidae,1.065080064983739
39,PD_0042,Cercopithecus,Cercopithecus_mona_ssp,Cercopithecidae,0.5242017688354411
42,PD_0045,Piliocolobus,Piliocolobus_gordonorum_ssp,Cercopithecidae,1.3518689599778435
43,PD_0046,Piliocolobus,Piliocolobus_kirkii_ssp,Cercopithecidae,1.1249606577973907
44,PD_0047,Piliocolobus,Piliocolobus_tephrosceles_ssp,Cercopithecidae,1.1311020852589557
45,PD_0048,Trachypithecus,Trachypithecus_phayrei_ssp,Cercopithecidae,0.4624679956458474
47,PD_0050,Hylobates,Hylobates_agilis_ssp,Hylobatidae,0.7082912393186415
48,PD_0051,Nomascus,Nomascus_gabriellae_ssp,Hylobatidae,0.5552488986466683
49,PD_0052,Presbytis,Presbytis_comata_ssp,Cercopithecidae,0.4532659007091124
52,PD_0055,Colobus,Colobus_polykomos_ssp,Cercopithecidae,0.5339044220430126
57,PD_0060,Cercopithecus,Cercopithecus_hamlyni_ssp,Cercopithecidae,0.5969481597804362
58,PD_0061,Cercopithecus,Cercopithecus_mitis_ssp,Cercopithecidae,0.32266396143849735
61,PD_0066,Cercopithecus,Cercopithecus_ascanius_ssp,Cercopithecidae,0.5949772989667765
63,PD_0068,Cercocebus,Cercocebus_chrysogaster_ssp,Cercopithecidae,0.34958242675252815
67,PD_0072,Alouatta,Alouatta_seniculus_ssp,Atelidae,0.6567229524984584
71,PD_0076,Ateles,Ateles_marginatus_ssp,Atelidae,0.63665581059585
74,PD_0079,Cebus,Cebus_olivaceus_ssp,Cebidae,0.3914848377321816
76,PD_0082,Chiropotes,Chiropotes_sagulatus_ssp,Pitheciidae,0.7511719719020462
80,PD_0087,Pithecia,Pithecia_albicans_ssp,Pitheciidae,0.6688040315457028
81,PD_0088,Cacajao,Cacajao_calvus_ssp,Pitheciidae,0.8526134132097287
82,PD_0089,Alouatta,Alouatta_macconnelli_ssp,Atelidae,0.5754884736600863
86,PD_0093,Cercopithecus,Cercopithecus_roloway_ssp,Cercopithecidae,0.5086581955577314
92,PD_0099,Nomascus,Nomascus_siki_ssp,Hylobatidae,0.6223546609770906
93,PD_0100,Semnopithecus,Semnopithecus_priam_ssp,Cercopithecidae,0.590714895852307
95,PD_0102,Semnopithecus,Semnopithecus_entellus_ssp,Cercopithecidae,0.5125638046282596
96,PD_0103,Pygathrix,Pygathrix_nemaeus_ssp,Cercopithecidae,0.4663397524403761
98,PD_0105,Pygathrix,Pygathrix_nemaeus_ssp,Cercopithecidae,0.5412421319398102
103,PD_0110,Xanthonycticebus,Xanthonycticebus_pygmaeus_ssp,Lorisidae,0.7517263487345313
105,PD_0114,Pygathrix,Pygathrix_nigripes_ssp,Cercopithecidae,0.5649577549918328
106,PD_0115,Pygathrix,Pygathrix_nigripes_ssp,Cercopithecidae,0.6225774634946876
110,PD_0119,Saguinus,Saguinus_imperator_ssp,Callitrichidae,0.4327556751013699
112,PD_0121,Saguinus,Saguinus_midas_ssp,Callitrichidae,0.3470808640514613
113,PD_0122,Saguinus,Saguinus_oedipus_ssp,Callitrichidae,0.3605641017497212
115,PD_0124,Miopithecus,Miopithecus_ogouensis_ssp,Cercopithecidae,0.5678657915873434
119,PD_0128,Cacajao,Cacajao_melanocephalus_ssp,Pitheciidae,0.8478835991636868
122,PD_0131,Cacajao,Cacajao_ayresi_ssp,Pitheciidae,0.8348165032900625
123,PD_0132,Cacajao,Cacajao_calvus_ssp,Pitheciidae,0.7649333679097938
126,PD_0135,Alouatta,Alouatta_macconnelli_ssp,Atelidae,0.5945286680095059
129,PD_0138,Ateles,Ateles_belzebuth_ssp,Atelidae,0.620591390123824
130,PD_0139,Ateles,Ateles_chamek_ssp,Atelidae,0.577526084748842
131,PD_0140,Ateles,Ateles_chamek_ssp,Atelidae,0.5341578313073538
132,PD_0141,Cebus,Cebus_albifrons_ssp,Cebidae,0.33248578933007317
134,PD_0143,Pithecia,Pithecia_hirsuta_ssp,Pitheciidae,0.5925952589762304
135,PD_0145,Arctocebus,Arctocebus_calabarensis_ssp,Lorisidae,0.9679797726700538
137,PD_0147,Avahi,Avahi_peyrierasi_ssp,Indriidae,0.6000248534224194
140,PD_0150,Eulemur,Eulemur_collaris_ssp,Lemuridae,0.4702522007478969
149,PD_0159,Hapalemur,Hapalemur_meridionalis_ssp,Lemuridae,0.5925187640122539
150,PD_0160,Hapalemur,Hapalemur_occidentalis_ssp,Lemuridae,0.5573671462324883
152,PD_0162,Mico,Mico_argentatus_ssp,Callitrichidae,0.2815521737433723
155,PD_0165,Perodicticus,Perodicticus_potto_ssp,Lorisidae,0.7074728603120571
156,PD_0166,Prolemur,Prolemur_simus_ssp,Lemuridae,0.7587495068243596
157,PD_0168,Propithecus,Propithecus_diadema_ssp,Indriidae,0.4351735562424729
158,PD_0169,Propithecus,Propithecus_edwardsi_ssp,Indriidae,0.41624537462861655
160,PD_0171,Propithecus,Propithecus_tattersalli_ssp,Indriidae,0.6555458428396391
164,PD_0175,Alouatta,Alouatta_palliata_ssp,Atelidae,0.6033120823964809
166,PD_0177,Ateles,Ateles_geoffroyi_ssp,Atelidae,0.6707971211698507
167,PD_0179,Gorilla,Gorilla_beringei_ssp,Hominidae,0.36657409160313054
168,PD_0180,Gorilla,Gorilla_gorilla_ssp,Hominidae,0.5706785471405093
169,PD_0181,Gorilla,Gorilla_gorilla_ssp,Hominidae,0.5624971944330268
170,PD_0182,Gorilla,Gorilla_gorilla_ssp,Hominidae,0.6313496470717452
171,PD_0183,Gorilla,Gorilla_gorilla_ssp,Hominidae,0.5971779035992072
173,PD_0185,Gorilla,Gorilla_gorilla_ssp,Hominidae,0.48511416583724243
174,PD_0186,Gorilla,Gorilla_gorilla_ssp,Hominidae,0.611367121645521
175,PD_0187,Gorilla,Gorilla_gorilla_ssp,Hominidae,0.5560247824228073
176,PD_0188,Gorilla,Gorilla_gorilla_ssp,Hominidae,0.6187242823995661
177,PD_0189,Gorilla,Gorilla_gorilla_ssp,Hominidae,0.6292689544974098
178,PD_0190,Gorilla,Gorilla_gorilla_ssp,Hominidae,0.571780308709801
181,PD_0193,Gorilla,Gorilla_gorilla_ssp,Hominidae,0.549739259025204
182,PD_0194,Gorilla,Gorilla_gorilla_ssp,Hominidae,0.5608085241191075
183,PD_0195,Gorilla,Gorilla_gorilla_ssp,Hominidae,0.5404758613278008
184,PD_0196,Gorilla,Gorilla_gorilla_ssp,Hominidae,0.5557497683835407
187,PD_0199,Papio,Papio_anubis_ssp,Cercopithecidae,0.3833068492140647
188,PD_0200,Papio,Papio_anubis_ssp,Cercopithecidae,0.3262401541347671
191,PD_0203,Papio,Papio_anubis_ssp,Cercopithecidae,0.4349363709525938
193,PD_0205,Papio,Papio_anubis_ssp,Cercopithecidae,0.38230194601443007
194,PD_0206,Papio,Papio_anubis_ssp,Cercopithecidae,0.45951562616417413
196,PD_0208,Papio,Papio_anubis_ssp,Cercopithecidae,0.37819399644302104
197,PD_0209,Papio,Papio_anubis_ssp,Cercopithecidae,0.4397274156844011
198,PD_0210,Papio,Papio_anubis_ssp,Cercopithecidae,0.3743023228883015
199,PD_0211,Papio,Papio_anubis_ssp,Cercopithecidae,0.28205532048524934
200,PD_0212,Papio,Papio_anubis_ssp,Cercopithecidae,0.45172734298500294
201,PD_0213,Papio,Papio_cynocephalus_ssp,Cercopithecidae,0.5827305630786066
202,PD_0214,Papio,Papio_cynocephalus_ssp,Cercopithecidae,0.5545389328635538
204,PD_0216,Papio,Papio_cynocephalus_ssp,Cercopithecidae,0.5305827796961261
207,PD_0219,Papio,Papio_anubis_ssp,Cercopithecidae,0.43412755094718697
209,PD_0221,Papio,Papio_anubis_ssp,Cercopithecidae,0.4060984885976075
210,PD_0222,Papio,Papio_anubis_ssp,Cercopithecidae,0.19041753329146766
212,PD_0224,Papio,Papio_cynocephalus_ssp,Cercopithecidae,0.5629101656229843
213,PD_0225,Papio,Papio_cynocephalus_ssp,Cercopithecidae,0.5441534513685612
214,PD_0226,Papio,Papio_cynocephalus_ssp,Cercopithecidae,0.554560074294571
220,PD_0232,Papio,Papio_cynocephalus_ssp,Cercopithecidae,0.5274024339118717
225,PD_0237,Papio,Papio_cynocephalus_ssp,Cercopithecidae,0.5176847753099731
226,PD_0238,Papio,Papio_anubis_ssp,Cercopithecidae,0.47802780315137927
227,PD_0239,Papio,Papio_anubis_ssp,Cercopithecidae,0.48406996065584507
228,PD_0240,Papio,Papio_anubis_ssp,Cercopithecidae,0.3227355483449649
229,PD_0241,Papio,Papio_anubis_ssp,Cercopithecidae,0.41630748723103583
231,PD_0243,Papio,Papio_anubis_ssp,Cercopithecidae,0.5009872597084385
232,PD_0244,Papio,Papio_anubis_ssp,Cercopithecidae,0.4456748641706621
233,PD_0245,Lepilemur,Lepilemur_ankaranensis_ssp,Lepilemuridae,0.5977890026834908
235,PD_0247,Eulemur,Eulemur_collaris_ssp,Lemuridae,0.44954468886141935
236,PD_0248,Lepilemur,Lepilemur_ankaranensis_ssp,Lepilemuridae,0.7386227842622742
241,PD_0253,Pygathrix,Pygathrix_cinerea_ssp,Cercopithecidae,0.5232271334020934
246,PD_0258,Pan,Pan_troglodytes_ssp,Hominidae,0.6290550072118862
247,PD_0259,Pan,Pan_troglodytes_ssp,Hominidae,0.6990961770871555
248,PD_0260,Gorilla,Gorilla_gorilla_ssp,Hominidae,0.6388961050368499
249,PD_0262,Pongo,Pongo_pygmaeus_ssp,Hominidae,0.3120192728754029
250,PD_0263,Pongo,Pongo_abelii_ssp,Hominidae,0.6870954825483726
251,PD_0264,Gorilla,Gorilla_gorilla_ssp,Hominidae,0.5847689291321531
252,PD_0265,Papio,Papio_anubis_ssp,Cercopithecidae,0.5702976999236212
257,PD_0270,Papio,Papio_cynocephalus_ssp,Cercopithecidae,0.46175816533719916
258,PD_0271,Papio,Papio_cynocephalus_ssp,Cercopithecidae,0.44689115108694843
259,PD_0272,Papio,Papio_cynocephalus_ssp,Cercopithecidae,0.5118569715861215
261,PD_0274,Plecturocebus,Plecturocebus_brunneus_ssp,Pitheciidae,0.5281812349872106
264,PD_0277,Plecturocebus,Plecturocebus_dubius_ssp,Pitheciidae,0.5612255084526208
267,PD_0280,Plecturocebus,Plecturocebus_miltoni_ssp,Pitheciidae,0.5398373920882924
269,PD_0282,Mico,Mico_humeralifer_ssp,Callitrichidae,0.5763031770648971
272,PD_0285,Cheracebus,Cheracebus_torquatus_ssp,Pitheciidae,0.49073703339461483
275,PD_0288,Cheracebus,Cheracebus_lucifer_ssp,Pitheciidae,0.6433921907221707
278,PD_0291,Cacajao,Cacajao_calvus_ssp,Pitheciidae,0.8209426583829837
279,PD_0292,Cacajao,Cacajao_calvus_ssp,Pitheciidae,0.8466955067172018
280,PD_0293,Leontopithecus,Leontopithecus_rosalia_ssp,Callitrichidae,0.44951338639344773
282,PD_0296,Alouatta,Alouatta_belzebul_ssp,Atelidae,0.6477773225057759
283,PD_0297,Alouatta,Alouatta_seniculus_ssp,Atelidae,0.6185820683321359
291,PD_0305,Ateles,Ateles_chamek_ssp,Atelidae,0.5422549567577002
296,PD_0310,Cebus,Cebus_unicolor_ssp,Cebidae,0.5679817890701776
297,PD_0311,Cebus,Cebus_unicolor_ssp,Cebidae,0.5287743298520486
298,PD_0312,Cheracebus,Cheracebus_lucifer_ssp,Pitheciidae,0.6810894989197114
299,PD_0313,Cheracebus,Cheracebus_lucifer_ssp,Pitheciidae,0.702152638776925
303,PD_0317,Cheracebus,Cheracebus_lugens_ssp,Pitheciidae,0.5355303242945856
305,PD_0319,Cheracebus,Cheracebus_lugens_ssp,Pitheciidae,0.6634034207401013
306,PD_0320,Cheracebus,Cheracebus_lugens_ssp,Pitheciidae,0.6642864660441463
308,PD_0322,Cheracebus,Cheracebus_regulus_ssp,Pitheciidae,0.5428799231410709
311,PD_0326,Chiropotes,Chiropotes_israelita_ssp,Pitheciidae,0.7611702198961907
313,PD_0328,Chiropotes,Chiropotes_israelita_ssp,Pitheciidae,0.7688344914691969
314,PD_0329,Chiropotes,Chiropotes_sagulatus_ssp,Pitheciidae,0.6994442517910062
315,PD_0330,Chiropotes,Chiropotes_sagulatus_ssp,Pitheciidae,0.7633926333995176
316,PD_0332,Plecturocebus,Plecturocebus_bernhardi_ssp,Pitheciidae,0.4784610384286043
319,PD_0335,Plecturocebus,Plecturocebus_caligatus_ssp,Pitheciidae,0.6821077611688783
321,PD_0337,Plecturocebus,Plecturocebus_cinerascens_ssp,Pitheciidae,0.4966666439018847
325,PD_0341,Plecturocebus,Plecturocebus_cupreus_ssp,Pitheciidae,0.7088173068424259
326,PD_0342,Plecturocebus,Plecturocebus_dubius_ssp,Pitheciidae,0.5702501105314477
328,PD_0344,Plecturocebus,Plecturocebus_moloch_ssp,Pitheciidae,0.4745940092739038
332,PD_0349,Saguinus,Saguinus_midas_ssp,Callitrichidae,0.6272113524411321
335,PD_0352,Leontocebus,Leontocebus_fuscicollis_ssp,Callitrichidae,0.4755038576134898
336,PD_0353,Saimiri,Saimiri_cassiquiarensis_ssp,Cebidae,0.2858843409732132
339,PD_0356,Saimiri,Saimiri_cassiquiarensis_ssp,Cebidae,0.22585226129855218
350,PD_0367,Saimiri,Saimiri_ustus_ssp,Cebidae,0.487268920660548
352,PD_0369,Saimiri,Saimiri_ustus_ssp,Cebidae,0.4638495290489246
362,PD_0379,Sapajus,Sapajus_apella_ssp,Cebidae,0.2908445800782264
365,PD_0382,Sapajus,Sapajus_apella_ssp,Cebidae,0.3099811599279703
370,PD_0387,Sapajus,Sapajus_apella_ssp,Cebidae,0.2636441910173157
373,PD_0390,Papio,Papio_papio_ssp,Cercopithecidae,0.3803103072014691
374,PD_0391,Papio,Papio_papio_ssp,Cercopithecidae,0.45832831635359655
375,PD_0392,Papio,Papio_papio_ssp,Cercopithecidae,0.3932132231228895
376,PD_0393,Papio,Papio_papio_ssp,Cercopithecidae,0.38560485034406683
377,PD_0394,Papio,Papio_papio_ssp,Cercopithecidae,0.3726237496386221
385,PD_0402,Cebus,Cebus_albifrons_ssp,Cebidae,0.3891380114470756
392,PD_0409,Chiropotes,Chiropotes_albinasus_ssp,Pitheciidae,0.8311510308024807
393,PD_0410,Cercopithecus,Cercopithecus_ascanius_ssp,Cercopithecidae,0.48731008508405066
394,PD_0411,Leontopithecus,Leontopithecus_rosalia_ssp,Callitrichidae,0.44400857291092255
398,PD_0415,Alouatta,Alouatta_belzebul_ssp,Atelidae,0.6371282406194552
399,PD_0416,Alouatta,Alouatta_macconnelli_ssp,Atelidae,0.5898657005960688
401,PD_0418,Alouatta,Alouatta_seniculus_ssp,Atelidae,0.646165546374695
403,PD_0420,Alouatta,Alouatta_juara_ssp,Atelidae,0.573008991632731
405,PD_0422,Alouatta,Alouatta_seniculus_ssp,Atelidae,0.5853261859264375
408,PD_0425,Alouatta,Alouatta_seniculus_ssp,Atelidae,0.5584700568686166
411,PD_0428,Alouatta,Alouatta_seniculus_ssp,Atelidae,0.6172912671522344
413,PD_0430,Alouatta,Alouatta_seniculus_ssp,Atelidae,0.5029395922036212
414,PD_0431,Ateles,Ateles_chamek_ssp,Atelidae,0.5816352646833666
415,PD_0432,Ateles,Ateles_chamek_ssp,Atelidae,0.5222059091502448
416,PD_0433,Ateles,Ateles_chamek_ssp,Atelidae,0.5439457779251515
419,PD_0436,Cacajao,Cacajao_calvus_ssp,Pitheciidae,0.9215605154159418
421,PD_0520,Hoolock,Hoolock_hoolock_ssp,Hylobatidae,0.5295472826837232
423,PD_0522,Hoolock,Hoolock_hoolock_ssp,Hylobatidae,0.5065653335017408
424,PD_0523,Hoolock,Hoolock_hoolock_ssp,Hylobatidae,0.577570257269709
426,PD_0525,Hoolock,Hoolock_hoolock_ssp,Hylobatidae,0.44236843766148043
427,PD_0526,Macaca,Macaca_assamensis_ssp,Cercopithecidae,0.5750174907780575
428,PD_0527,Hoolock,Hoolock_hoolock_ssp,Hylobatidae,0.3019447217062612
429,PD_0528,Hoolock,Hoolock_hoolock_ssp,Hylobatidae,0.6220267004004744
431,PD_0530,Hoolock,Hoolock_hoolock_ssp,Hylobatidae,0.5779592403693187
434,PD_0533,Macaca,Macaca_arctoides_ssp,Cercopithecidae,0.22322281561940266
436,PD_0535,Macaca,Macaca_arctoides_ssp,Cercopithecidae,0.1653908052944657
439,PD_0541,Macaca,Macaca_leonina_ssp,Cercopithecidae,0.3188898867776224
440,PD_0542,Macaca,Macaca_leonina_ssp,Cercopithecidae,0.30647045839769055
441,PD_0543,Macaca,Macaca_leonina_ssp,Cercopithecidae,0.3851107484070397
443,PD_0545,Macaca,Macaca_leonina_ssp,Cercopithecidae,0.35614223030808007
444,PD_0552,Macaca,Macaca_radiata_ssp,Cercopithecidae,0.38402194171882953
448,PD_0556,Macaca,Macaca_radiata_ssp,Cercopithecidae,0.390534488685666
449,PD_0557,Macaca,Macaca_radiata_ssp,Cercopithecidae,0.2792707295138532
451,PD_0559,Macaca,Macaca_radiata_ssp,Cercopithecidae,0.3882568667329148
453,PD_0561,Macaca,Macaca_radiata_ssp,Cercopithecidae,0.2925991220856515
461,PD_0569,Macaca,Macaca_silenus_ssp,Cercopithecidae,0.4805090443042036
462,PD_0570,Macaca,Macaca_silenus_ssp,Cercopithecidae,0.45949815471786093
463,PD_0571,Macaca,Macaca_silenus_ssp,Cercopithecidae,0.44091984282658353
464,PD_0572,Macaca,Macaca_silenus_ssp,Cercopithecidae,0.8251683336040139
465,PD_0573,Macaca,Macaca_silenus_ssp,Cercopithecidae,0.42866139582112534
467,PD_0575,Macaca,Macaca_silenus_ssp,Cercopithecidae,0.3257600075135227
469,PD_0577,Macaca,Macaca_silenus_ssp,Cercopithecidae,0.234766963179968
471,PD_0579,Nycticebus,Nycticebus_bengalensis_ssp,Lorisidae,0.500133641893574
472,PD_0580,Nycticebus,Nycticebus_bengalensis_ssp,Lorisidae,0.42708109745556283
474,PD_0582,Semnopithecus,Semnopithecus_entellus_ssp,Cercopithecidae,0.5669262771715208
475,PD_0583,Semnopithecus,Semnopithecus_entellus_ssp,Cercopithecidae,0.5620437942022493
476,PD_0584,Semnopithecus,Semnopithecus_entellus_ssp,Cercopithecidae,0.5607445272929774
479,PD_0587,Semnopithecus,Semnopithecus_entellus_ssp,Cercopithecidae,0.3536123858030161
486,PD_0594,Semnopithecus,Semnopithecus_schistaceus_ssp,Cercopithecidae,0.34871994530166023
488,PD_0596,Trachypithecus,Trachypithecus_geei_ssp,Cercopithecidae,0.5107052628805613
494,PD_0603,Trachypithecus,Trachypithecus_pileatus_ssp,Cercopithecidae,0.5647767373083128
496,PD_0605,Cheirogaleus,Cheirogaleus_major_ssp,Cheirogaleidae,0.515962614615772
499,PD_0608,Mirza,Mirza_zaza_ssp,Cheirogaleidae,0.310490029458756
504,PD_0613,Eulemur,Eulemur_fulvus_ssp,Lemuridae,0.6359229878478169
509,PD_0618,Eulemur,Eulemur_sanfordi_ssp,Lemuridae,0.4027801241376504
510,PD_0619,Hapalemur,Hapalemur_griseus_ssp,Lemuridae,0.33965674863044404
522,PD_0693,Papio,Papio_ursinus_ssp,Cercopithecidae,0.40911295053698454
523,PD_0694,Papio,Papio_ursinus_ssp,Cercopithecidae,0.34279775829745196
524,PD_0695,Papio,Papio_ursinus_ssp,Cercopithecidae,0.42713278437696284
527,PD_0698,Papio,Papio_hamadryas_ssp,Cercopithecidae,0.4569486642509308
529,PD_0700,Papio,Papio_hamadryas_ssp,Cercopithecidae,0.49315019411783917
530,PD_0701,Papio,Papio_hamadryas_ssp,Cercopithecidae,0.4428252349387794
537,PD_0708,Papio,Papio_hamadryas_ssp,Cercopithecidae,0.4933569175185415
539,PD_0710,Papio,Papio_hamadryas_ssp,Cercopithecidae,0.45931756736265417
550,PD_0721,Papio,Papio_anubis_ssp,Cercopithecidae,0.40424223814333315
553,PD_0724,Papio,Papio_anubis_ssp,Cercopithecidae,0.41067704220206064
555,PD_0726,Papio,Papio_anubis_ssp,Cercopithecidae,0.40340453109433305
559,PD_0730,Papio,Papio_anubis_ssp,Cercopithecidae,0.4102095712377371
565,PD_0736,Papio,Papio_anubis_ssp,Cercopithecidae,0.3992700369615377
566,PD_0737,Papio,Papio_anubis_ssp,Cercopithecidae,0.29365018975188095
567,PD_0738,Papio,Papio_anubis_ssp,Cercopithecidae,0.4061424713323121
573,PD_0744,Papio,Papio_anubis_ssp,Cercopithecidae,0.3876651242703584
574,PD_0745,Papio,Papio_cynocephalus_ssp,Cercopithecidae,0.452760424673294
583,PD_0754,Papio,Papio_cynocephalus_ssp,Cercopithecidae,0.48007615658651764
589,PD_0760,Papio,Papio_kindae_ssp,Cercopithecidae,0.45361118799092737
594,PD_0765,Papio,Papio_cynocephalus_ssp,Cercopithecidae,0.39066367105139904
598,PD_0769,Papio,Papio_cynocephalus_ssp,Cercopithecidae,0.48220237290692214
599,PD_0770,Papio,Papio_cynocephalus_ssp,Cercopithecidae,0.46590986336338297
601,PD_0772,Papio,Papio_cynocephalus_ssp,Cercopithecidae,0.4580965407106487
602,PD_0773,Papio,Papio_cynocephalus_ssp,Cercopithecidae,0.5205967485171261
603,PD_0774,Papio,Papio_cynocephalus_ssp,Cercopithecidae,0.40243141701205615
610,PD_0781,Papio,Papio_kindae_ssp,Cercopithecidae,0.43339449307653777
617,PD_0788,Papio,Papio_kindae_ssp,Cercopithecidae,0.28593055573929743
618,PD_0789,Papio,Papio_kindae_ssp,Cercopithecidae,0.4299845568492302
619,PD_0790,Papio,Papio_kindae_ssp,Cercopithecidae,0.3832732482430654
620,PD_0791,Papio,Papio_kindae_ssp,Cercopithecidae,0.40839347893020445
621,PD_0792,Papio,Papio_kindae_ssp,Cercopithecidae,0.4555934557631154
628,PD_0800,Aotus,Aotus_azarai_ssp,Aotidae,0.5294761971884141
635,PD_0807,Aotus,Aotus_azarai_ssp,Aotidae,0.34086178048983895
636,PD_0808,Aotus,Aotus_azarai_ssp,Aotidae,0.4343037277648792
638,PD_0810,Aotus,Aotus_azarai_ssp,Aotidae,0.3311445408798071
639,PD_0811,Aotus,Aotus_azarai_ssp,Aotidae,0.4031827254266404
642,PD_0814,Aotus,Aotus_azarai_ssp,Aotidae,0.36381532405978495
646,PD_0841,Leontopithecus,Leontopithecus_chrysomelas_ssp,Callitrichidae,0.38373714290343064
647,PD_0842,Nycticebus,Nycticebus_bengalensis_ssp,Lorisidae,0.4713924136998915
649,PD_0845,Nycticebus,Nycticebus_bengalensis_ssp,Lorisidae,0.7797918146062922
650,PD_0846,Nycticebus,Nycticebus_bengalensis_ssp,Lorisidae,0.4838897927062055
652,SAMD00026330,Pan,Pan_troglodytes_ssp,Hominidae,0.6051021952695221
656,SAMD00589946,Macaca,Macaca_fuscata_ssp,Cercopithecidae,0.40215766358547544
658,SAMD00589948,Macaca,Macaca_fuscata_ssp,Cercopithecidae,0.44148274149861205
659,SAMD00589949,Macaca,Macaca_fuscata_ssp,Cercopithecidae,0.5473648800329534
660,SAMD00589950,Macaca,Macaca_fuscata_ssp,Cercopithecidae,0.3449899338929742
662,SAMD00589952,Macaca,Macaca_fuscata_ssp,Cercopithecidae,0.563794386620021
663,SAMD00589953,Macaca,Macaca_fuscata_ssp,Cercopithecidae,0.4743940193892494
665,SAMD00589955,Macaca,Macaca_fuscata_ssp,Cercopithecidae,0.3723780193686483
666,SAMD00589956,Macaca,Macaca_fuscata_ssp,Cercopithecidae,0.30518199465351586
667,SAMD00589957,Macaca,Macaca_fuscata_ssp,Cercopithecidae,0.19161538975821713
668,SAMD00589958,Macaca,Macaca_fuscata_ssp,Cercopithecidae,0.4974621981317837
669,SAMD00589959,Macaca,Macaca_fuscata_ssp,Cercopithecidae,0.5089258939851738
670,SAMD00589960,Macaca,Macaca_fuscata_ssp,Cercopithecidae,0.5336106208884379
671,SAMD00589961,Macaca,Macaca_fuscata_ssp,Cercopithecidae,0.49232479967325815
672,SAMD00589962,Macaca,Macaca_fuscata_ssp,Cercopithecidae,0.43955618458627205
