,Sample,Genus,Species,family,XA_ratio
1150,SAMN03274886,Rhinopithecus,Rhinopithecus_roxellana_ssp,Cercopithecidae,0.38275803118560425
1151,SAMN03274889,Rhinopithecus,Rhinopithecus_roxellana_ssp,Cercopithecidae,0.5103183344729374
1152,SAMN03274895,Rhinopithecus,Rhinopithecus_roxellana_ssp,Cercopithecidae,0.4491165555204985
1154,SAMN03274897,Rhinopithecus,Rhinopithecus_roxellana_ssp,Cercopithecidae,0.41323861198803435
1159,SAMN03274902,Rhinopithecus,Rhinopithecus_roxellana_ssp,Cercopithecidae,0.565169707576664
1161,SAMN03274904,Rhinopithecus,Rhinopithecus_strykeri_ssp,Cercopithecidae,0.5367252853040733
1164,SAMN03275524,Callithrix,Callithrix_jacchus_ssp,Callitrichidae,0.37594481498024984
1166,SAMN03275526,Callithrix,Callithrix_jacchus_ssp,Callitrichidae,0.2640979504390035
1172,SAMN03651901,Rhinopithecus,Rhinopithecus_roxellana_ssp,Cercopithecidae,0.47102364411818004
1173,SAMN03651902,Rhinopithecus,Rhinopithecus_roxellana_ssp,Cercopithecidae,0.27952433312285274
1175,SAMN03651904,Rhinopithecus,Rhinopithecus_roxellana_ssp,Cercopithecidae,0.6323105523024541
1177,SAMN03651907,Rhinopithecus,Rhinopithecus_roxellana_ssp,Cercopithecidae,0.4820164448122168
1179,SAMN03651909,Rhinopithecus,Rhinopithecus_roxellana_ssp,Cercopithecidae,0.5476273601674053
1180,SAMN03651910,Rhinopithecus,Rhinopithecus_roxellana_ssp,Cercopithecidae,0.2740403484206637
1181,SAMN03651911,Rhinopithecus,Rhinopithecus_roxellana_ssp,Cercopithecidae,0.3033866105213515
1182,SAMN03651912,Rhinopithecus,Rhinopithecus_roxellana_ssp,Cercopithecidae,0.3375376722785102
1185,SAMN03651915,Rhinopithecus,Rhinopithecus_roxellana_ssp,Cercopithecidae,0.3867185727812185
1187,SAMN03651919,Rhinopithecus,Rhinopithecus_roxellana_ssp,Cercopithecidae,0.4675460643639585
1188,SAMN03651920,Rhinopithecus,Rhinopithecus_roxellana_ssp,Cercopithecidae,0.3481314937686441
1190,SAMN03651922,Rhinopithecus,Rhinopithecus_roxellana_ssp,Cercopithecidae,0.41778573533656
1195,SAMN04274558,Cebus,Cebus_imitator_ssp,Cebidae,0.24472892310085698
1197,SAMN04316319,Macaca,Macaca_arctoides_ssp,Cercopithecidae,0.3154951006951508
1198,SAMN04316320,Macaca,Macaca_arctoides_ssp,Cercopithecidae,0.3123297644683161
1202,SAMN04625776,Propithecus,Propithecus_diadema_ssp,Indriidae,0.46276280913608586
1203,SAMN05583905,Microcebus,Microcebus_murinus_ssp,Cheirogaleidae,0.421520684405214
1204,SAMN05583906,Microcebus,Microcebus_murinus_ssp,Cheirogaleidae,0.27367489056717276
1206,SAMN05853042,Prolemur,Prolemur_simus_ssp,Lemuridae,0.7051580213003056
1210,SAMN06275555,Pongo,Pongo_abelii_ssp,Hominidae,0.5997630922700986
1213,SAMN07503430,Macaca,Macaca_nigra_ssp,Cercopithecidae,0.4948612996170415
1214,SAMN07508135,Macaca,Macaca_brunnescens_ssp,Cercopithecidae,0.5895236696566013
1215,SAMN07508136,Macaca,Macaca_hecki_ssp,Cercopithecidae,0.5056538497021076
1216,SAMN07508137,Macaca,Macaca_hecki_ssp,Cercopithecidae,0.4943971671087934
1217,SAMN07508138,Macaca,Macaca_hecki_ssp,Cercopithecidae,0.4433783627777663
1218,SAMN07508142,Macaca,Macaca_maura_ssp,Cercopithecidae,0.5147060800850635
1219,SAMN07508143,Macaca,Macaca_maura_ssp,Cercopithecidae,0.5709842787510704
1223,SAMN07508148,Macaca,Macaca_nemestrina_ssp,Cercopithecidae,0.5417351290404215
1224,SAMN07508151,Macaca,Macaca_nemestrina_ssp,Cercopithecidae,0.5883663702363614
1227,SAMN07508155,Macaca,Macaca_nigra_ssp,Cercopithecidae,0.5289102748269275
1230,SAMN07508162,Macaca,Macaca_tonkeana_ssp,Cercopithecidae,0.5215410877703796
1231,SAMN07678036,Alouatta,Alouatta_palliata_ssp,Atelidae,0.6791694100991625
1232,SAMN07678064,Ateles,Ateles_geoffroyi_ssp,Atelidae,0.49957272496030924
1235,SAMN07678072,Cheirogaleus,Cheirogaleus_medius_ssp,Cheirogaleidae,0.42258256053283566
1237,SAMN07678095,Mirza,Mirza_coquereli_ssp,Cheirogaleidae,0.3485235440845313
1238,SAMN07678099,Nasalis,Nasalis_larvatus_ssp,Cercopithecidae,0.4421730918900896
1241,SAMN07678108,Pygathrix,Pygathrix_nemaeus_ssp,Cercopithecidae,0.45558962902901556
1244,SAMN07678140,Plecturocebus,Plecturocebus_donacophilus_ssp,Pitheciidae,0.45588463244608507
1245,SAMN07763310,Chlorocebus,Chlorocebus_pygerythrus_ssp,Cercopithecidae,0.6229925326802489
1247,SAMN08793326,Lepilemur,Lepilemur_mustelinus_ssp,Lepilemuridae,0.6494090353537577
1248,SAMN08793327,Eulemur,Eulemur_rufifrons_ssp,Lemuridae,0.41550717053496317
1251,SAMN08848262,Rhinopithecus,Rhinopithecus_roxellana_ssp,Cercopithecidae,0.4593682572083063
1253,SAMN08978223,Aotus,Aotus_nancymaae_ssp,Aotidae,0.5878807635819937
1255,SAMN08978225,Aotus,Aotus_nancymaae_ssp,Aotidae,0.38038380272071654
1259,SAMN08978229,Aotus,Aotus_nancymaae_ssp,Aotidae,0.6305639105469529
1262,SAMN08978232,Aotus,Aotus_nancymaae_ssp,Aotidae,0.5708882379388741
1263,SAMN08978233,Aotus,Aotus_nancymaae_ssp,Aotidae,0.612909838672752
1265,SAMN08978235,Aotus,Aotus_nancymaae_ssp,Aotidae,0.6337791259612735
1266,SAMN08978236,Aotus,Aotus_nancymaae_ssp,Aotidae,0.5818817216350625
1271,SAMN08978241,Aotus,Aotus_nancymaae_ssp,Aotidae,0.608720260117724
1273,SAMN08978243,Aotus,Aotus_nancymaae_ssp,Aotidae,0.4738948392998712
1275,SAMN08978245,Aotus,Aotus_nancymaae_ssp,Aotidae,0.5840437388742341
1277,SAMN08978247,Aotus,Aotus_nancymaae_ssp,Aotidae,0.5990893398769644
1278,SAMN08978248,Aotus,Aotus_nancymaae_ssp,Aotidae,0.6412145108063502
1280,SAMN08978250,Aotus,Aotus_nancymaae_ssp,Aotidae,0.6082376716441492
1282,SAMN08978252,Aotus,Aotus_nancymaae_ssp,Aotidae,0.583894317692263
1283,SAMN09197221,Theropithecus,Theropithecus_gelada_ssp,Cercopithecidae,0.42293947781805263
1285,SAMN09702723,Daubentonia,Daubentonia_madagascariensis_ssp,Daubentoniidae,0.6468789368024661
1287,SAMN09702725,Microcebus,Microcebus_murinus_ssp,Cheirogaleidae,0.38294896693693303
1291,SAMN09702729,Prolemur,Prolemur_simus_ssp,Lemuridae,0.7259512758784551
1293,SAMN09702731,Nycticebus,Nycticebus_coucang_ssp,Lorisidae,0.519696334488035
1299,SAMN09935349,Trachypithecus,Trachypithecus_francoisi_ssp,Cercopithecidae,0.6126039619931319
1301,SAMN09935370,Trachypithecus,Trachypithecus_francoisi_ssp,Cercopithecidae,0.6007510066686387
1302,SAMN09935372,Trachypithecus,Trachypithecus_francoisi_ssp,Cercopithecidae,0.6313511758460012
1303,SAMN09935374,Trachypithecus,Trachypithecus_francoisi_ssp,Cercopithecidae,0.4175594218166004
1304,SAMN09935375,Trachypithecus,Trachypithecus_francoisi_ssp,Cercopithecidae,0.27984819236339026
1305,SAMN09935376,Trachypithecus,Trachypithecus_poliocephalus_ssp,Cercopithecidae,0.508065223502098
1311,SAMN09935388,Trachypithecus,Trachypithecus_poliocephalus_ssp,Cercopithecidae,0.36611931848901147
1313,SAMN09935393,Trachypithecus,Trachypithecus_poliocephalus_ssp,Cercopithecidae,0.3188061289176814
1314,SAMN09935394,Trachypithecus,Trachypithecus_francoisi_ssp,Cercopithecidae,0.28414592284545126
1317,SAMN10499711,Macaca,Macaca_nemestrina_ssp,Cercopithecidae,0.5838211238456894
1318,SAMN10499712,Macaca,Macaca_nemestrina_ssp,Cercopithecidae,0.5891635513334704
1320,SAMN10499714,Macaca,Macaca_nemestrina_ssp,Cercopithecidae,0.596864629354749
1321,SAMN10499715,Macaca,Macaca_nemestrina_ssp,Cercopithecidae,0.5886530104041984
1322,SAMN10499716,Macaca,Macaca_nemestrina_ssp,Cercopithecidae,0.5935647263116773
1323,SAMN10499717,Macaca,Macaca_nemestrina_ssp,Cercopithecidae,0.5794601170783912
1324,SAMN10499718,Macaca,Macaca_nemestrina_ssp,Cercopithecidae,0.5566249719526328
1325,SAMN10499719,Macaca,Macaca_nemestrina_ssp,Cercopithecidae,0.561815695832097
1326,SAMN10499720,Macaca,Macaca_nemestrina_ssp,Cercopithecidae,0.5671018849860525
1330,SAMN10707780,Microcebus,Microcebus_griseorufus_ssp,Cheirogaleidae,0.4329255284920398
1331,SAMN10707781,Microcebus,Microcebus_mittermeieri_ssp,Cheirogaleidae,0.45352271437544556
1332,SAMN10707783,Microcebus,Microcebus_jonahi_ssp,Cheirogaleidae,0.48036140088298174
1333,SAMN10707784,Microcebus,Microcebus_tavaratra_ssp,Cheirogaleidae,0.48023623149487793
1334,SAMN10707785,Mirza,Mirza_zaza_ssp,Cheirogaleidae,0.46310786051006897
1336,SAMN11123633,Pan,Pan_paniscus_ssp,Hominidae,0.7376357659554293
1340,SAMN11334320,Cheirogaleus,Cheirogaleus_sibreei_ssp,Cheirogaleidae,0.3444775247845449
1341,SAMN11334321,Cheirogaleus,Cheirogaleus_medius_ssp,Cheirogaleidae,0.41000194327016337
1342,SAMN12512033,Macaca,Macaca_cyclopis_ssp,Cercopithecidae,0.4123032524745198
1347,SAMN12637771,Microcebus,Microcebus_murinus_ssp,Cheirogaleidae,0.3576225078234643
1348,SAMN12637772,Microcebus,Microcebus_murinus_ssp,Cheirogaleidae,0.37212742507580715
1349,SAMN12637773,Microcebus,Microcebus_murinus_ssp,Cheirogaleidae,0.2807612542427898
1350,SAMN12637774,Microcebus,Microcebus_murinus_ssp,Cheirogaleidae,0.34603450305764727
1358,SAMN12714420,Gorilla,Gorilla_gorilla_ssp,Hominidae,0.581712045441596
1360,SAMN12714422,Pongo,Pongo_pygmaeus_ssp,Hominidae,0.31366743658158097
1365,SAMN13555781,Cercopithecus,Cercopithecus_mona_ssp,Cercopithecidae,0.5564524796092896
1366,SAMN13555782,Cercopithecus,Cercopithecus_mona_ssp,Cercopithecidae,0.5885570267431224
1369,SAMN13555785,Cercopithecus,Cercopithecus_mona_ssp,Cercopithecidae,0.5278292199763173
1372,SAMN13555788,Cercopithecus,Cercopithecus_mona_ssp,Cercopithecidae,0.5520079801405522
1373,SAMN13555789,Cercopithecus,Cercopithecus_mona_ssp,Cercopithecidae,0.5339641626429228
1374,SAMN13555790,Cercopithecus,Cercopithecus_mona_ssp,Cercopithecidae,0.5719636421270985
1377,SAMN13555793,Cercopithecus,Cercopithecus_mona_ssp,Cercopithecidae,0.5518036645529892
1382,SAMN14521207,Macaca,Macaca_arctoides_ssp,Cercopithecidae,0.16556223700613806
1383,SAMN14521608,Macaca,Macaca_assamensis_ssp,Cercopithecidae,0.5267368253405209
1384,SAMN14909740,Microcebus,Microcebus_arnholdi_ssp,Cheirogaleidae,0.4783120897007756
1385,SAMN14909741,Microcebus,Microcebus_arnholdi_ssp,Cheirogaleidae,0.4405119377568872
1388,SAMN15033212,Pan,Pan_troglodytes_ssp,Hominidae,0.6329458274510239
1390,SAMN15033214,Pan,Pan_troglodytes_ssp,Hominidae,0.6115242254369495
1391,SAMN15033215,Pan,Pan_troglodytes_ssp,Hominidae,0.635326833885738
1392,SAMN15033216,Pan,Pan_troglodytes_ssp,Hominidae,0.7024003312385569
1393,SAMN15033217,Pan,Pan_troglodytes_ssp,Hominidae,0.6082670881770185
1396,SAMN15033220,Pan,Pan_troglodytes_ssp,Hominidae,0.6138890020144231
1400,SAMN15033224,Pan,Pan_troglodytes_ssp,Hominidae,0.7843275814480404
1401,SAMN15033225,Pan,Pan_troglodytes_ssp,Hominidae,0.6404008864097541
1402,SAMN15033226,Pan,Pan_troglodytes_ssp,Hominidae,0.9426036276662235
1404,SAMN15033228,Pan,Pan_troglodytes_ssp,Hominidae,0.7532375228741924
1405,SAMN15033229,Pan,Pan_troglodytes_ssp,Hominidae,0.9131463015394959
1406,SAMN15033230,Pan,Pan_troglodytes_ssp,Hominidae,0.6343397128459438
1407,SAMN15033231,Pan,Pan_troglodytes_ssp,Hominidae,0.6655877651800759
1408,SAMN15033232,Pan,Pan_troglodytes_ssp,Hominidae,0.6906751011456895
1409,SAMN15033233,Pan,Pan_troglodytes_ssp,Hominidae,0.6322091813355823
1410,SAMN15033234,Pan,Pan_troglodytes_ssp,Hominidae,0.6149842704061597
1411,SAMN15033235,Pan,Pan_troglodytes_ssp,Hominidae,0.6460875801982763
1414,SAMN15033238,Pan,Pan_troglodytes_ssp,Hominidae,0.581687091700042
1415,SAMN15033239,Pan,Pan_troglodytes_ssp,Hominidae,1.0012227774766909
1418,SAMN15033242,Pan,Pan_troglodytes_ssp,Hominidae,0.6404357874618669
1420,SAMN15033244,Pan,Pan_troglodytes_ssp,Hominidae,0.6107403028852232
1421,SAMN15033245,Pan,Pan_troglodytes_ssp,Hominidae,0.6343140305698279
1423,SAMN15033247,Pan,Pan_troglodytes_ssp,Hominidae,0.659978580174565
1425,SAMN15061835,Macaca,Macaca_sylvanus_ssp,Cercopithecidae,0.5514991312433353
1426,SAMN15061836,Macaca,Macaca_cyclopis_ssp,Cercopithecidae,0.405555343180557
1427,SAMN15061837,Macaca,Macaca_fuscata_ssp,Cercopithecidae,0.5912427915144416
1428,SAMN15061838,Macaca,Macaca_silenus_ssp,Cercopithecidae,0.48101643741358874
1430,SAMN15194902,Macaca,Macaca_arctoides_ssp,Cercopithecidae,0.28961799697327395
1431,SAMN15194903,Macaca,Macaca_thibetana_ssp,Cercopithecidae,0.22067972180637527
1432,SAMN15194904,Macaca,Macaca_thibetana_ssp,Cercopithecidae,0.34193255747685314
1433,SAMN15237929,Microcebus,Microcebus_ravelobensis_ssp,Cheirogaleidae,0.5596319738723112
1434,SAMN15237931,Microcebus,Microcebus_murinus_ssp,Cheirogaleidae,0.5119957632052765
1435,SAMN15246264,Microcebus,Microcebus_ravelobensis_ssp,Cheirogaleidae,0.5049090961488466
1436,SAMN15801446,Allenopithecus,Allenopithecus_nigroviridis_ssp,Cercopithecidae,0.5246462895380726
1437,SAMN16949012,Pygathrix,Pygathrix_nemaeus_ssp,Cercopithecidae,0.48197123316951396
1439,SAMN16949014,Rhinopithecus,Rhinopithecus_bieti_ssp,Cercopithecidae,0.6673360450999231
1440,SAMN16949015,Rhinopithecus,Rhinopithecus_bieti_ssp,Cercopithecidae,0.5463841283830863
1441,SAMN16949016,Rhinopithecus,Rhinopithecus_bieti_ssp,Cercopithecidae,0.5926117989858394
1442,SAMN16949017,Rhinopithecus,Rhinopithecus_bieti_ssp,Cercopithecidae,0.48144120103002
1447,SAMN18570967,Macaca,Macaca_hecki_ssp,Cercopithecidae,0.48828390250792375
1448,SAMN18570968,Macaca,Macaca_hecki_ssp,Cercopithecidae,0.5245772994457737
1449,SAMN18571119,Macaca,Macaca_tonkeana_ssp,Cercopithecidae,0.6730147354844909
1450,SAMN18571130,Macaca,Macaca_tonkeana_ssp,Cercopithecidae,0.4687806176071766
1451,SAMN18571131,Macaca,Macaca_tonkeana_ssp,Cercopithecidae,0.5570585247351916
1452,SAMN18571132,Macaca,Macaca_tonkeana_ssp,Cercopithecidae,0.514515732983797
1453,SAMN18571133,Macaca,Macaca_tonkeana_ssp,Cercopithecidae,0.586581247848326
1454,SAMN19736174,Macaca,Macaca_cyclopis_ssp,Cercopithecidae,0.4056100881344956
1457,SAMN19736177,Macaca,Macaca_assamensis_ssp,Cercopithecidae,0.444975661371347
1458,SAMN19736178,Macaca,Macaca_leucogenys_ssp,Cercopithecidae,0.5352456158806047
1462,SAMN19736182,Macaca,Macaca_sinica_ssp,Cercopithecidae,0.42784608982323113
1465,SAMN19736186,Macaca,Macaca_maura_ssp,Cercopithecidae,0.16763847982223895
1466,SAMN19736187,Macaca,Macaca_tonkeana_ssp,Cercopithecidae,0.7091442622380603
1467,SAMN19736188,Macaca,Macaca_nigra_ssp,Cercopithecidae,0.550348629393691
1468,SAMN19736189,Macaca,Macaca_sylvanus_ssp,Cercopithecidae,0.5926993923822479
1473,SAMN20814900,Papio,Papio_cynocephalus_ssp,Cercopithecidae,0.5409684109285856
1476,SAMN20814903,Papio,Papio_cynocephalus_ssp,Cercopithecidae,0.4588192281890743
1478,SAMN20814905,Papio,Papio_cynocephalus_ssp,Cercopithecidae,0.5007210644218656
1482,SAMN20815227,Papio,Papio_cynocephalus_ssp,Cercopithecidae,0.4208937185350108
1483,SAMN20815322,Papio,Papio_cynocephalus_ssp,Cercopithecidae,0.44326159837357343
1484,SAMN20815323,Papio,Papio_cynocephalus_ssp,Cercopithecidae,0.46406022559261983
1486,SAMN20815325,Papio,Papio_cynocephalus_ssp,Cercopithecidae,0.36120550667752876
1489,SAMN20949829,Papio,Papio_hamadryas_ssp,Cercopithecidae,0.4421879481290416
1490,SAMN20949830,Papio,Papio_hamadryas_ssp,Cercopithecidae,0.4556649383696346
1491,SAMN20949834,Papio,Papio_hamadryas_ssp,Cercopithecidae,0.48915259856159005
1494,SAMN20949850,Theropithecus,Theropithecus_gelada_ssp,Cercopithecidae,0.35097350880365435
1495,SAMN20949856,Theropithecus,Theropithecus_gelada_ssp,Cercopithecidae,0.3609218982756219
1496,SAMN20949860,Theropithecus,Theropithecus_gelada_ssp,Cercopithecidae,0.38524432324717767
1497,SAMN20949861,Theropithecus,Theropithecus_gelada_ssp,Cercopithecidae,0.628120957681582
1501,SAMN20949866,Theropithecus,Theropithecus_gelada_ssp,Cercopithecidae,0.4165430609440067
1502,SAMN20949867,Theropithecus,Theropithecus_gelada_ssp,Cercopithecidae,0.46283648720212905
1507,SAMN20949874,Theropithecus,Theropithecus_gelada_ssp,Cercopithecidae,0.4292465948004676
1508,SAMN20949876,Theropithecus,Theropithecus_gelada_ssp,Cercopithecidae,0.4561028637029583
1510,SAMN20949879,Theropithecus,Theropithecus_gelada_ssp,Cercopithecidae,0.43334000920939636
1514,SAMN20949883,Theropithecus,Theropithecus_gelada_ssp,Cercopithecidae,0.42417359465333326
1516,SAMN20949886,Theropithecus,Theropithecus_gelada_ssp,Cercopithecidae,0.41180744603966707
1517,SAMN20949887,Theropithecus,Theropithecus_gelada_ssp,Cercopithecidae,0.46941989782951105
1520,SAMN20949890,Theropithecus,Theropithecus_gelada_ssp,Cercopithecidae,0.3999858014484917
1522,SAMN20949892,Theropithecus,Theropithecus_gelada_ssp,Cercopithecidae,0.4941779209849428
1523,SAMN20949893,Theropithecus,Theropithecus_gelada_ssp,Cercopithecidae,0.44681780063194976
1524,SAMN20949894,Theropithecus,Theropithecus_gelada_ssp,Cercopithecidae,0.4840058115859277
1525,SAMN20949896,Theropithecus,Theropithecus_gelada_ssp,Cercopithecidae,0.2937209570527298
1526,SAMN20949898,Theropithecus,Theropithecus_gelada_ssp,Cercopithecidae,0.4245091713105703
1527,SAMN20949899,Theropithecus,Theropithecus_gelada_ssp,Cercopithecidae,0.45777365236797235
1528,SAMN20949900,Theropithecus,Theropithecus_gelada_ssp,Cercopithecidae,0.25209686223946903
1530,SAMN20949905,Theropithecus,Theropithecus_gelada_ssp,Cercopithecidae,0.4538655077628871
1532,SAMN20949909,Theropithecus,Theropithecus_gelada_ssp,Cercopithecidae,0.4722265912744764
1535,SAMN21582235,Erythrocebus,Erythrocebus_patas_ssp,Cercopithecidae,0.594276626435574
1536,SAMN21582240,Hylobates,Hylobates_agilis_ssp,Hylobatidae,0.6708480409375197
1537,SAMN21582245,Leontopithecus,Leontopithecus_rosalia_ssp,Callitrichidae,0.4806322133417304
1538,SAMN21582257,Pithecia,Pithecia_pithecia_ssp,Pitheciidae,0.5426812722956664
1540,SAMN21971400,Hylobates,Hylobates_lar_ssp,Hylobatidae,0.5506212601689909
1543,SAMN21971423,Mandrillus,Mandrillus_leucophaeus_ssp,Cercopithecidae,0.315008519739873
1544,SAMN21971424,Mandrillus,Mandrillus_leucophaeus_ssp,Cercopithecidae,0.31314811579246987
1545,SAMN21971425,Mandrillus,Mandrillus_leucophaeus_ssp,Cercopithecidae,0.3375559969656647
1548,SAMN21971465,Pithecia,Pithecia_pithecia_ssp,Pitheciidae,0.4523303013358121
1550,SAMN21971467,Pithecia,Pithecia_pithecia_ssp,Pitheciidae,0.46291391550854716
1551,SAMN21971468,Pithecia,Pithecia_pithecia_ssp,Pitheciidae,0.4387283637074456
1553,SAMN21971470,Pithecia,Pithecia_pithecia_ssp,Pitheciidae,0.4599316690230288
1555,SAMN21971499,Saimiri,Saimiri_boliviensis_ssp,Cebidae,0.7076441901529471
1556,SAMN21971500,Saimiri,Saimiri_boliviensis_ssp,Cebidae,0.2769545870600687
1557,SAMN21971501,Saimiri,Saimiri_boliviensis_ssp,Cebidae,0.3056958591982291
1558,SAMN21971502,Saimiri,Saimiri_boliviensis_ssp,Cebidae,0.29327374557471036
1560,SAMN21971504,Saimiri,Saimiri_boliviensis_ssp,Cebidae,0.3269740724221506
1561,SAMN21971505,Saimiri,Saimiri_boliviensis_ssp,Cebidae,0.3286523849413649
1573,SAMN23530515,Nycticebus,Nycticebus_bengalensis_ssp,Lorisidae,0.2928446085666835
1574,SAMN23530517,Pithecia,Pithecia_pithecia_ssp,Pitheciidae,0.45791315353572454
1578,SAMN23530524,Trachypithecus,Trachypithecus_phayrei_ssp,Cercopithecidae,0.49895339751336726
1580,SAMN24909948,Colobus,Colobus_guereza_ssp,Cercopithecidae,0.42903762504723736
1581,SAMN24909949,Erythrocebus,Erythrocebus_patas_ssp,Cercopithecidae,0.6773310842586251
1582,SAMN24909950,Hylobates,Hylobates_pileatus_ssp,Hylobatidae,0.8194593771347496
1583,SAMN24909951,Macaca,Macaca_silenus_ssp,Cercopithecidae,0.5628055568185227
1584,SAMN24909952,Papio,Papio_hamadryas_ssp,Cercopithecidae,0.4674016165946424
1586,SAMN25565059,Cercopithecus,Cercopithecus_mitis_ssp,Cercopithecidae,0.49334203313029745
1587,SAMN25565061,Eulemur,Eulemur_collaris_ssp,Lemuridae,0.6399878372866679
1591,SAMN29758779,Symphalangus,Symphalangus_syndactylus_ssp,Hylobatidae,0.6656972380980553
1592,SAMN29758785,Varecia,Varecia_variegata_ssp,Lemuridae,0.6181744037508285
1596,SAMN33960461,Trachypithecus,Trachypithecus_poliocephalus_ssp,Cercopithecidae,0.6559862271730811
1599,SAMN33960464,Trachypithecus,Trachypithecus_poliocephalus_ssp,Cercopithecidae,0.6520515587079735
1600,SAMN35877942,Pan,Pan_paniscus_ssp,Hominidae,0.7202328419880079
1602,SAMN35877944,Gorilla,Gorilla_gorilla_ssp,Hominidae,0.5436491897941335
1606,SAMN37320022,Allochrocebus,Allochrocebus_lhoesti_ssp,Cercopithecidae,0.356068126443432
1608,SAMN37320038,Perodicticus,Perodicticus_potto_ssp,Lorisidae,0.7636759463268985
1611,SAMN37320058,Cercopithecus,Cercopithecus_ascanius_ssp,Cercopithecidae,0.521947320650222
1612,SAMN41072372,Eulemur,Eulemur_rufifrons_ssp,Lemuridae,0.4263160442613491
1613,SAMN43386187,Hoolock,Hoolock_leuconedys_ssp,Hylobatidae,0.3884632570844525
1615,SAMN43494760,Papio,Papio_anubis_ssp,Cercopithecidae,0.5424379568050727
1616,SAMN43494761,Papio,Papio_anubis_ssp,Cercopithecidae,0.5498996210596703
1619,SAMN43494764,Papio,Papio_anubis_ssp,Cercopithecidae,0.4437078513536587
1620,SAMN43494765,Papio,Papio_anubis_ssp,Cercopithecidae,0.6033352506873383
1621,SAMN43494766,Papio,Papio_anubis_ssp,Cercopithecidae,0.417299127855263
1622,SAMN43494767,Papio,Papio_anubis_ssp,Cercopithecidae,0.6245887146397047
1628,SAMN44474152,Daubentonia,Daubentonia_madagascariensis_ssp,Daubentoniidae,0.7556281783708895
1629,SAMN44474153,Daubentonia,Daubentonia_madagascariensis_ssp,Daubentoniidae,0.2905341612473388
1630,SAMN44474154,Daubentonia,Daubentonia_madagascariensis_ssp,Daubentoniidae,0.7513540195012202
1631,SAMN44474155,Daubentonia,Daubentonia_madagascariensis_ssp,Daubentoniidae,0.7063355737291811
1632,SAMN44474156,Daubentonia,Daubentonia_madagascariensis_ssp,Daubentoniidae,0.4460946898059429
1633,SAMN44474157,Daubentonia,Daubentonia_madagascariensis_ssp,Daubentoniidae,0.40978219560328943
1634,SAMN44474158,Daubentonia,Daubentonia_madagascariensis_ssp,Daubentoniidae,0.7668217075390229
1635,SAMN44474159,Daubentonia,Daubentonia_madagascariensis_ssp,Daubentoniidae,0.7641571163098307
1636,SAMN44474160,Daubentonia,Daubentonia_madagascariensis_ssp,Daubentoniidae,0.8015654011424884
1637,SAMN44474161,Daubentonia,Daubentonia_madagascariensis_ssp,Daubentoniidae,0.6430275073029893
1638,SAMN44474162,Daubentonia,Daubentonia_madagascariensis_ssp,Daubentoniidae,0.5671414795327119
1639,SAMN44474163,Daubentonia,Daubentonia_madagascariensis_ssp,Daubentoniidae,0.6554784356809237
1640,SAMN44474164,Daubentonia,Daubentonia_madagascariensis_ssp,Daubentoniidae,0.7520839193790217
1641,SAMN45929218,Brachyteles,Brachyteles_hypoxanthus_ssp,Atelidae,0.6188603219106834
